profile_id,counter_id,direction,display_name,file,lat,lon,data_points
Z088_Oerlikon,Z088,Oerlikon,Z088 - Regensbergstrasse (Birchstrasse) (Oerlikon),data/prepared/profiles/Z088_Oerlikon.csv,47.40955005526877,8.537554346738862,1320
Z089_auswärts,Z089,auswärts,Z089 - Wallisellenstrasse (Saatlenstrasse) (auswärts),data/prepared/profiles/Z089_auswärts.csv,47.41086896104801,8.56315583371858,1440
Z089_einwärts,Z089,einwärts,Z089 - Wallisellenstrasse (Saatlenstrasse) (einwärts),data/prepared/profiles/Z089_einwärts.csv,47.410915731484046,8.56297130768755,1440
Z090_auswärts,Z090,auswärts,Z090 - Winterthurerstrasse (Luchswiesenstrasse) (auswärts),data/prepared/profiles/Z090_auswärts.csv,47.40655142737108,8.584211530000251,1440
Z090_einwärts,Z090,einwärts,Z090 - Winterthurerstrasse (Luchswiesenstrasse) (einwärts),data/prepared/profiles/Z090_einwärts.csv,47.40656212739204,8.584039511034177,1440
Z091_Talstrasse,Z091,Talstrasse,Z091 - Dreikönigstrasse (Genferstrasse) (Talstrasse),data/prepared/profiles/Z091_Talstrasse.csv,47.3660430921639,8.533519686016596,1440
Z092_auswärts,Z092,auswärts,Z092 - Am Wasser (Hardeggstrasse) (auswärts),data/prepared/profiles/Z092_auswärts.csv,47.39723844855568,8.50303281319898,1440
Z092_einwärts,Z092,einwärts,Z092 - Am Wasser (Hardeggstrasse) (einwärts),data/prepared/profiles/Z092_einwärts.csv,47.397216751165004,8.50300561996929,1440
Z093_auswärts,Z093,auswärts,Z093 - Hardturmstrasse (Bernoullihäuser) (auswärts),data/prepared/profiles/Z093_auswärts.csv,47.39379154655607,8.508303780652897,1440
Z093_einwärts,Z093,einwärts,Z093 - Hardturmstrasse (Bernoullihäuser) (einwärts),data/prepared/profiles/Z093_einwärts.csv,47.39374337783941,8.508940105690792,1440
Z095_Oerlikon,Z095,Oerlikon,Z095 - Schwamendingerstrasse (Dörflistrasse) (Oerlikon),data/prepared/profiles/Z095_Oerlikon.csv,47.40676101592693,8.551042032583728,1440
Z095_Schwamendingen,Z095,Schwamendingen,Z095 - Schwamendingerstrasse (Dörflistrasse) (Schwamendingen),data/prepared/profiles/Z095_Schwamendingen.csv,47.40673279229068,8.551021170849818,1440
Z096_auswärts,Z096,auswärts,Z096 - Katzenschwanzstrasse (Witikonerstrasse) (auswärts),data/prepared/profiles/Z096_auswärts.csv,47.360545714489575,8.596773509501578,1440
Z096_einwärts,Z096,einwärts,Z096 - Katzenschwanzstrasse (Witikonerstrasse) (einwärts),data/prepared/profiles/Z096_einwärts.csv,47.360518276582134,8.596710957238347,1440
Z097_Bucheggplatz,Z097,Bucheggplatz,Z097 - Hofwiesenstrasse (Brunnenhofweg) (Bucheggplatz),data/prepared/profiles/Z097_Bucheggplatz.csv,47.40116779828503,8.534261426307614,1440
Z097_Oerlikon,Z097,Oerlikon,Z097 - Hofwiesenstrasse (Brunnenhofweg) (Oerlikon),data/prepared/profiles/Z097_Oerlikon.csv,47.40122554565332,8.534498701871692,1440
Z098_Letzigrund,Z098,Letzigrund,Z098 - Letzigraben (Hubertus) (Letzigrund),data/prepared/profiles/Z098_Letzigrund.csv,47.37781147351969,8.498839600449452,1440
Z098_auswärts,Z098,auswärts,Z098 - Letzigraben (Hubertus) (auswärts),data/prepared/profiles/Z098_auswärts.csv,47.37771670763339,8.498689941808433,1440
